locus_tag,n_barcodes,n_barcodes_central,scaffold,begin,end,gene_strand,desc,insertion_index,insertion_probability,tn_interval,essentiality,uniprot,protein,protein_name,gene_name,length
H16_B0737,8,5,NC_008314.1,830669,832147,+,gene,0.4819016997636754,0.16011465172446568,351.75,non-essential,Q0K390,Q0K390_CUPNH,"Aldehyde dehydrogenase, NAD-dependent (EC 1.2.1.3)",H16_B0737,492
H16_B0738,2,2,NC_008314.1,832171,833145,+,gene,0.28880339694536183,0.08379985198205522,355.5,non-essential,Q0K389,Q0K389_CUPNH,Predicted ring-cleavage extradiol dioxygenase (EC 1.14.-.-),H16_B0738,324
H16_B0750,14,11,NC_008314.1,845023,846159,-,gene,1.471595530630592,0.9813643381551689,329.35714285714283,non-essential,Q0K377,Q0K377_CUPNH,Salicylate hydroxylase (EC 1.14.13.1),H16_B0750,378
H16_B0751,10,7,NC_008314.1,846735,847970,-,gene,0.8397079458444,0.6469230090770327,338.2,non-essential,Q0K376,Q0K376_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B0751,411
H16_B0752,13,11,NC_008314.1,848016,849167,-,gene,1.401306017208038,0.9740581609064016,340.61538461538464,non-essential,Q0K375,Q0K375_CUPNH,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",H16_B0752,383
H16_B0756,10,6,NC_008314.1,854633,855508,-,gene,0.8528784648187633,0.6662388092427465,402.2,non-essential,Q0K371,Q0K371_CUPNH,Enoyl-CoA hydratase (EC 4.2.1.17),H16_B0756,291
H16_B0757,8,7,NC_008314.1,855725,856696,+,gene,0.905661158521754,0.7192891084923635,398.375,non-essential,Q0K370,Q0K370_CUPNH,Dioxygenase related to 2-nitropropane dioxygenase (EC 1.13.11.-),H16_B0757,323
H16_B0759,20,15,NC_008314.1,857318,858493,+,gene,1.5957446808510638,0.9957762192681969,399.15,non-essential,Q0K368,Q0K368_CUPNH,Acetyl-CoA acetyltransferase (EC 2.3.1.9),H16_B0759,391
H16_B0760,8,4,NC_008314.1,858667,859341,-,gene,0.7589153581701032,0.5842793080164481,391.75,non-essential,Q0K367,Q0K367_CUPNH,"Fructose-2,6-bisphosphatase (EC 3.1.3.46)",H16_B0760,224
H16_B0776,22,20,NC_008314.1,875480,878209,-,gene,0.9288597720062479,0.7892883642075919,395.54545454545456,non-essential,Q0K356,Q0K356_CUPNH,Nitrate reductase [NADH] (EC 1.7.1.1),H16_B0776,909
H16_B0777,13,8,NC_008314.1,878251,879492,-,gene,0.8201544760955725,0.6174540034950704,393.9230769230769,non-essential,Q0K355,Q0K355_CUPNH,Flavoprotein FAD oxidoreductase,H16_B0777,413
H16_B0778,2,2,NC_008314.1,879551,879934,-,gene,0.661842902821162,0.5656109697871343,394.5,non-essential,Q0K354,Q0K354_CUPNH,"Nitrite reductase, NAD(P)H-dependent,Ferredoxinsubunit (EC 1.7.1.4)",nasE H16_B0778,127
H16_B0779,22,17,NC_008314.1,879960,882521,-,gene,0.8381353559018534,0.6356578389539415,396.6818181818182,non-essential,Q0K353,Q0K353_CUPNH,"Nitrite reductase, NAD(P)H-dependent, large subunit (EC 1.7.1.4)",nasD H16_B0779,853
H16_B0795,12,11,NC_008314.1,902954,903649,-,gene,2.6917241716830618,0.9998565144971341,294.9166666666667,non-essential,Q0K337,Q0K337_CUPNH,"Protocatechuate 3,4-dioxygenase (EC 1.13.11.3)",H16_B0795,231
H16_B0797,10,9,NC_008314.1,904289,904756,-,gene,3.3227497600236284,0.9999189306690217,289.8,non-essential,Q0K335,Q0K335_CUPNH,Cytosine deaminase-related enzyme (EC 3.5.4.12),H16_B0797,155
H16_B0800,5,4,NC_008314.1,906337,906861,-,gene,1.3026600317849049,0.8977586778754624,293,non-essential,Q0K332,Q0K332_CUPNH,Ring hydroxylating dioxygenase beta subunit (EC 1.-.-.-),H16_B0800,171
H16_B0811,1,0,NC_008314.1,917770,918522,+,gene,0,0.03372918750587872,280,essential,Q0K321,Q0K321_CUPNH,Maleate isomerase (EC 5.2.1.1) (Maleate cis-trans isomerase),maiA H16_B0811,250
H16_B0814,3,2,NC_008314.1,920434,921060,+,gene,0.5644678761331692,0.4602724087072956,283,non-essential,Q0K318,Q0K318_CUPNH,Amidase related to nicotinamidase (EC 3.5.1.-),H16_B0814,208
H16_B0816,4,2,NC_008314.1,923494,924321,+,gene,0.43340137734957723,0.28492255275633876,279,non-essential,Q0K316,Q0K316_CUPNH,"Aerobic-type carbon monoxide dehydrogenase homolog, FAD-binding subunit (EC 1.1.1.-)",H16_B0816,275
H16_B0819,10,10,NC_008314.1,926237,927436,+,gene,1.5054663483107162,0.9802968131498385,278,non-essential,Q0K313,Q0K313_CUPNH,2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase),kbl H16_B0819,399
H16_B0824,20,15,NC_008314.1,933064,934281,-,gene,2.224799693867562,0.9998674311597858,277.25,non-essential,Q0K308,Q0K308_CUPNH,D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95),serA4 H16_B0824,405
H16_B0831,5,3,NC_008314.1,940282,941373,+,gene,0.4875480234803128,0.2736114608189762,281.6,non-essential,Q0K301,Q0K301_CUPNH,"Alcohol dehydrogenase, class IV (EC 1.1.1.-)",H16_B0831,363
H16_B0833,5,5,NC_008314.1,942843,944288,+,gene,0.6291286568103177,0.387630075246259,274.8,non-essential,Q0K2Z9,Q0K2Z9_CUPNH,"NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)",H16_B0833,481
H16_B0834,2,0,NC_008314.1,944493,946475,+,gene,0,1.4630076941363361e-4,273.5,essential,Q0K2Z8,Q0K2Z8_CUPNH,Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme),acsA H16_B0834,660
H16_B0841,10,7,NC_008314.1,952890,953819,+,gene,1.112998566286869,0.8640966495524172,339.2,non-essential,Q0K2Z1,Q0K2Z1_CUPNH,D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95),serA5 H16_B0841,309
H16_B0842,21,18,NC_008314.1,953849,955858,-,gene,1.3253966617676078,0.985700258943579,338.3333333333333,non-essential,Q0K2Z0,Q0K2Z0_CUPNH,Phosphodiesterase/alkaline phosphatase D (EC 3.1.3.1),phoD H16_B0842,669
H16_B0847,8,5,NC_008314.1,960686,961909,+,gene,0.603887202476639,0.3476539381118664,339.125,non-essential,Q0K2Y5,Q0K2Y5_CUPNH,Acyl-CoA transferase/carnitine dehydratase (EC 2.8.3.-),H16_B0847,407
H16_B0848,3,3,NC_008314.1,961906,962595,+,gene,0.6384364266287578,0.4810024576686297,341,non-essential,Q0K2Y4,Q0K2Y4_CUPNH,Enoyl-CoA hydratase (EC 4.2.1.17),H16_B0848,229
H16_B0849,11,10,NC_008314.1,962610,963833,+,gene,1.1989171380409214,0.9250825836100052,340.90909090909093,non-essential,Q0K2Y3,Q0K2Y3_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B0849,407
H16_B0850,9,8,NC_008314.1,963896,965023,+,gene,1.0500727175356894,0.8372152298433351,338.6666666666667,non-essential,NA,NA,NA,NA,NA
H16_B0862,7,5,NC_008314.1,978170,979618,+,gene,0.5138450407787424,0.20855857922377458,336.2857142857143,non-essential,Q0K2X0,Q0K2X0_CUPNH,Cytosine deaminase or related metal-dependent hydrolase (EC 3.5.4.-),H16_B0862,482
H16_B0873,12,9,NC_008314.1,990381,991427,+,gene,1.2842099255158244,0.9420903789558726,335.3333333333333,non-essential,Q0K2V9,Q0K2V9_CUPNH,"Gentisate 1,2-dioxygenase (EC 1.13.11.4)",H16_B0873,348
H16_B0874,5,3,NC_008314.1,991523,992221,+,gene,0.6414916819911902,0.4847093016842797,335,non-essential,Q0K2V8,Q0K2V8_CUPNH,Fumarylpyruvate hydrolase (EC 3.7.1.5),H16_B0874,232
H16_B0875,3,3,NC_008314.1,992254,992895,+,gene,0.7069769195601661,0.5590637854251834,331.3333333333333,non-essential,Q0K2V7,Q0K2V7_CUPNH,Maleylpyruvate isomerase (EC 5.2.1.4),H16_B0875,213
H16_B0876,12,6,NC_008314.1,992923,994137,+,gene,0.7454525818399744,0.5339129398181629,331.5,non-essential,Q0K2V6,Q0K2V6_CUPNH,3-Hydroxybenzoate 6-hydroxylase (EC 1.14.13.24),H16_B0876,404
H16_B0884,6,6,NC_008314.1,1002338,1003102,+,gene,1.211944929222416,0.8946765352186336,324,non-essential,Q0K2U8,Q0K2U8_CUPNH,2-Oxopent-4-enoate hydratase (EC 4.2.1.80),mhpD3 H16_B0884,254
H16_B0891,8,7,NC_008314.1,1008694,1009662,-,gene,1.1299070247933884,0.8728082911098993,320.125,non-essential,Q0K2U1,Q0K2U1_CUPNH,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),dapA3 dapA H16_B0891,322
H16_B0909,7,6,NC_008314.1,1028799,1029983,-,gene,0.9180376028202116,0.7320951475195121,275.14285714285717,non-essential,Q0K2S3,Q0K2S3_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B0909,394
H16_B0910,17,17,NC_008314.1,1029995,1031548,-,gene,1.9830715678863726,0.9997716662777116,276.4117647058824,non-essential,Q0K2S2,Q0K2S2_CUPNH,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-),H16_B0910,517
H16_B0913,4,2,NC_008314.1,1033664,1034830,-,gene,0.29471922099815506,0.09079873197250493,291,non-essential,Q0K2R9,Q0K2R9_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B0913,388
H16_B0914,13,11,NC_008314.1,1034852,1036042,-,gene,1.5774227779849141,0.9889118000495682,292.38461538461536,non-essential,Q0K2R8,Q0K2R8_CUPNH,Acyl-CoA transferase/carnitine dehydratase (EC 2.8.3.-),H16_B0914,396
H16_B0915,7,6,NC_008314.1,1036056,1036826,-,gene,1.3252054068380599,0.9261250834455153,293.85714285714283,non-essential,Q0K2R7,Q0K2R7_CUPNH,Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17),H16_B0915,256
H16_B0917,24,8,NC_008314.1,1037780,1038658,-,gene,1.5287948510189417,0.973511158618307,297.75,non-essential,Q0K2R5,Q0K2R5_CUPNH,Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-),H16_B0917,292
H16_B0928,23,19,NC_008314.1,1049144,1051294,-,gene,1.3512552450039117,0.990656311928259,324,non-essential,Q0K2Q5,Q0K2Q5_CUPNH,6-Carboxyhexanoate-CoA ligase (EC 6.2.1.14),H16_B0928,716
H16_B0932,34,29,NC_008314.1,1053253,1055514,-,gene,2.004091110128262,0.9999973866393072,320.29411764705884,non-essential,Q0K2Q1,Q0K2Q1_CUPNH,Phospholipase D (EC 3.1.4.4),H16_B0932,753
H16_B0938,6,6,NC_008314.1,1058518,1059696,+,gene,0.7647715627342113,0.5615839276892595,333,non-essential,Q0K2P5,Q0K2P5_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B0938,392
H16_B0939,3,3,NC_008314.1,1059693,1060256,+,gene,0.8000896100363241,0.6473090370953812,333,non-essential,Q0K2P4,Q0K2P4_CUPNH,Monooxygenase / Flavin Reductase (EC 1.14.14.1),cyp H16_B0939,187
H16_B0941,17,10,NC_008314.1,1061151,1062059,-,gene,1.6486850088369518,0.9893685805720291,334.29411764705884,non-essential,Q0K2P2,Q0K2P2_CUPNH,"NAD-dependent beta-hydroxyacid dehydrogenase (EC 1.1.1.-)",H16_B0941,302
H16_B0942,16,14,NC_008314.1,1062135,1063238,-,gene,1.836857159804902,0.9985599445003286,344.6875,non-essential,Q0K2P1,Q0K2P1_CUPNH,Malate/L-lactate dehydrogenase (EC 1.1.1.-),H16_B0942,367
H16_B0948,16,9,NC_008314.1,1070065,1072035,+,gene,0.6545168938082703,0.333528843065635,349.5625,non-essential,Q0K2N5,Q0K2N5_CUPNH,Uncharacterized NAD(FAD)-dependent dehydrogenase,H16_B0948,656
H16_B0961,16,11,NC_008314.1,1082768,1084186,+,gene,1.1066220516149994,0.8931782916620592,350.5625,non-essential,Q0K2M2,Q0K2M2_CUPNH,Pyruvate kinase (EC 2.7.1.40),pyk3 H16_B0961,472
H16_B0965,10,8,NC_008314.1,1088097,1089662,+,gene,0.7419204433001569,0.5030000331186599,344.8,non-essential,Q0K2L8,Q0K2L8_CUPNH,Probable D-galactarate dehydratase (EC 4.2.1.42),H16_B0965,521
H16_B0968,3,1,NC_008314.1,1090994,1091875,+,gene,0.16498165404007073,0.04480362179388198,344,ambiguous,Q0K2L5,Q0K2L5_CUPNH,"6-Chlorohydroxyquinol-1,2-dioxygenase (EC 1.13.11.-)",pcpA H16_B0968,293
H16_B0970,10,10,NC_008314.1,1092197,1093249,+,gene,1.3776381771091641,0.9661222421699383,345.2,non-essential,Q0K2L3,Q0K2L3_CUPNH,2-Chloromaleylacetate/maleylacetate reductase (EC 1.3.1.32),pcpE H16_B0970,354
H16_B0975,12,9,NC_008314.1,1098279,1099418,+,gene,1.102047907977999,0.8756906782370011,359.3333333333333,non-essential,Q0K2K8,Q0K2K8_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B0975,379
H16_B0981,14,13,NC_008314.1,1105569,1106840,+,gene,1.6235185393328588,0.994236466676243,314.64285714285717,non-essential,Q0K2K2,Q0K2K2_CUPNH,4-Aminobutyrate aminotransferase (EC 2.6.1.19),gabT H16_B0981,423
H16_B0982,9,7,NC_008314.1,1106850,1108301,+,gene,0.7681941292409803,0.5551131223535539,314.3333333333333,non-essential,Q0K2K1,Q0K2K1_CUPNH,Succinate-semialdehyde dehydrogenase (NADP+) (EC 1.2.1.16),gabD1 H16_B0982,483
H16_B0984,18,15,NC_008314.1,1109660,1111207,+,gene,1.487145117603436,0.9919347122019596,326.27777777777777,non-essential,Q0K2J9,Q0K2J9_CUPNH,Gamma-glutamyltransferase 2 (EC 2.3.2.2),ggt2c H16_B0984,529
H16_B1004,3,1,NC_008314.1,1129521,1130363,+,gene,0.19533691711463932,0.08340442580518452,304,ambiguous,Q0K2H9,Q0K2H9_CUPNH,Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17),H16_B1004,280
H16_B1009,41,36,NC_008314.1,1133531,1136818,-,gene,1.8689822664732618,0.9999990642561494,293.1951219512195,non-essential,Q0K2H4,Q0K2H4_CUPNH,Probable bifunctional P-450:NADPH-P450 reductase (EC 1.6.2.4),H16_B1009,1095
H16_B1014,6,5,NC_008314.1,1141659,1142882,-,gene,0.7085476118846044,0.5014375530045048,288.8333333333333,non-essential,Q0K2G9,Q0K2G9_CUPNH,Intracellular poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75),phaZ5 H16_B1014,407
H16_B1016,9,7,NC_008314.1,1145057,1146097,-,gene,1.1485954318718825,0.881074340021804,293,non-essential,Q0K2G7,Q0K2G7_CUPNH,Isocitrate dehydrogenase [NAD] (EC 1.1.1.41),icd3 H16_B1016,346
H16_B1034,9,6,NC_008314.1,1167859,1168770,-,gene,1.0588696213835191,0.8281830520188673,311.3333333333333,non-essential,Q0K2E9,Q0K2E9_CUPNH,Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17),H16_B1034,303
H16_B1047,14,12,NC_008314.1,1182732,1184474,+,gene,1.0780360915461276,0.8826940522915447,320.57142857142856,non-essential,Q0K2D6,Q0K2D6_CUPNH,Quinate dehydrogenase (PQQ) (EC 1.1.99.25),quiA H16_B1047,580
H16_B1063,4,2,NC_008314.1,1201998,1202951,+,gene,0.22325913688017682,0.025350644091649364,470.25,ambiguous,Q0K2C0,Q0K2C0_CUPNH,Predicted acid phosphatase (EC 3.1.3.-),H16_B1063,317
H16_B1067,14,13,NC_008314.1,1205830,1208010,+,gene,0.6460790630624856,0.26368510476167434,461.07142857142856,non-essential,Q0K2B6,Q0K2B6_CUPNH,Phospholipase C (EC 3.1.4.3),plcN3 H16_B1067,726
H16_B1076,21,18,NC_008314.1,1216297,1217364,+,gene,1.806180750528308,0.999450104685085,466.8095238095238,non-essential,Q0K2A7,Q0K2A7_CUPNH,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54),aroG2 H16_B1076,378
H16_B1081,24,18,NC_008314.1,1222559,1223755,-,gene,1.6520510821690193,0.9984906433901839,454.625,non-essential,Q0K2A2,Q0K2A2_CUPNH,Tyrosine aminotransferase (EC 2.6.1.57),tyrB2 H16_B1081,398
H16_B1083,23,17,NC_008314.1,1225434,1226513,-,gene,1.735168392989103,0.9988553107700036,454,non-essential,Q0K2A0,Q0K2A0_CUPNH,4-Hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27),hpd H16_B1083,359
H16_B1090,12,11,NC_008314.1,1232777,1233679,-,gene,1.3386538579093137,0.9644881688112968,456,non-essential,Q0K293,Q0K293_CUPNH,Patatin-like phospholipase (EC 3.1.1.-),H16_B1090,300
H16_B1092,24,22,NC_008314.1,1234829,1236565,+,gene,1.3744914381678779,0.9942584760334883,460.75,non-essential,Q0K291,Q0K291_CUPNH,Thioredoxin reductase (EC 1.8.1.9),H16_B1092,578
H16_B1098,6,5,NC_008314.1,1242169,1243560,+,gene,0.37599752142433873,0.0447658970979326,478,non-essential,Q0K285,Q0K285_CUPNH,Pyridinenucleotide-disulphide (Lipoamid) oxidoreductase (EC 1.8.1.4),H16_B1098,463
H16_B1102,30,21,NC_008314.1,1247611,1249263,+,gene,1.3078049801213645,0.9885807155218852,485.9,non-essential,Q0K281,Q0K281_CUPNH,Acetyl-CoA synthetase (EC 6.2.1.1),H16_B1102,550
H16_B1107,12,11,NC_008314.1,1253101,1254678,-,gene,0.8654180519911696,0.6787010899431661,402.8333333333333,non-essential,Q0K276,Q0K276_CUPNH,Phospholipase D (EC 3.1.4.4),H16_B1107,525
H16_B1109,12,12,NC_008314.1,1256437,1257435,+,gene,1.4881247643802455,0.9855835812722716,403.6666666666667,non-essential,Q0K274,Q0K274_CUPNH,"Putative dioxygenase, 2OG-Fe(II) oxygenase superfamily (EC 1.13.11.-)",H16_B1109,332
H16_B1112,14,6,NC_008314.1,1259588,1260553,+,gene,0.7638349607261524,0.5629055026973404,405.5,non-essential,Q0K271,Q0K271_CUPNH,Esterase/ipase (EC 3.1.1.-),H16_B1112,321
H16_B1143,2,2,NC_008314.1,1297506,1297928,+,gene,0.6235969069593416,0.526574132737347,380,non-essential,Q0K240,Q0K240_CUPNH,Lactoylglutathione lyase (EC 4.4.1.5),gloA2 H16_B1143,140
H16_B1148,21,16,NC_008314.1,1302465,1304099,+,gene,1.0439148896190493,0.8852709428080451,469.76190476190476,non-essential,Q0K235,Q0K235_CUPNH,Acyl-CoA synthetase (EC 6.2.1.-),H16_B1148,544
H16_B1152,24,22,NC_008314.1,1305329,1306459,+,gene,2.095699580983131,0.9999812573209301,463.75,non-essential,Q0K231,Q0K231_CUPNH,Mannose-6-phosphate isomerase (EC 5.3.1.8),H16_B1152,376
H16_B1164,3,1,NC_008314.1,1314919,1315620,-,gene,0.15676192566349484,0.03637590435779579,455,essential,Q0K219,Q0K219_CUPNH,Phosphoserine phosphatase (EC 3.1.3.3),serB3 H16_B1164,233
H16_B1166,18,13,NC_008314.1,1316781,1318937,-,gene,0.660426268860648,0.2929180532524663,456,non-essential,Q0K217,Q0K217_CUPNH,Phospholipase C (EC 3.1.4.3),plcN4 H16_B1166,718
H16_B1172,7,5,NC_008314.1,1325173,1326699,+,gene,0.3584835857535755,0.032585848581490044,457.2857142857143,non-essential,Q0K211,Q0K211_CUPNH,Amidase (EC 3.5.1.-),H16_B1172,508
H16_B1179,6,2,NC_008314.1,1333147,1334319,+,pseudogene,0.19347898431272395,0.010466996812185228,441.5,ambiguous,NA,NA,NA,NA,NA
H16_B1180,11,5,NC_008314.1,1334357,1335166,+,gene,0.6913277086910954,0.4819528105167029,446.27272727272725,non-essential,Q0K203,Q0K203_CUPNH,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)",hpaI2 H16_B1180,269
H16_B1188,12,11,NC_008314.1,1342108,1343235,-,gene,1.096677068482498,0.8869766149110141,445.5833333333333,non-essential,Q0K1Z5,Q0K1Z5_CUPNH,Enoyl-CoA hydratase/isomerase (EC 4.2.1.17),H16_B1188,375
H16_B1190,12,7,NC_008314.1,1344012,1344917,-,gene,0.853731416096496,0.6645229210043035,453,non-essential,Q0K1Z3,Q0K1Z3_CUPNH,3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31),H16_B1190,301
H16_B1191,27,16,NC_008314.1,1344955,1346478,-,gene,1.167286787772671,0.9466858436744364,450.8888888888889,non-essential,Q0K1Z2,Q0K1Z2_CUPNH,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27),mmsA3 H16_B1191,507
H16_B1192,7,4,NC_008314.1,1346523,1347656,-,gene,0.39579037358653363,0.091845898129342,446.85714285714283,non-essential,Q0K1Z1,Q0K1Z1_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B1192,377
H16_B1195,20,16,NC_008314.1,1349689,1350795,-,gene,1.5810451793768328,0.9964485500046396,454.5,non-essential,Q0K1Y8,Q0K1Y8_CUPNH,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),adhC H16_B1195,368
H16_B1198,10,8,NC_008314.1,1353102,1354781,-,gene,0.5196015903525771,0.13267337610765698,457.5,non-essential,Q0K1Y5,Q0K1Y5_CUPNH,FAD dependent glycerol-3-phosphate dehydrogenase (EC 1.1.99.5),H16_B1198,559
H16_B1199,5,4,NC_008314.1,1354800,1356323,-,gene,0.29117464218276157,0.014342985414146567,451,non-essential,Q0K1Y4,Q0K1Y4_CUPNH,Glycerol kinase (EC 2.7.1.30),H16_B1199,507
H16_B1209,22,19,NC_008314.1,1365749,1367221,-,gene,1.367331429624171,0.9907274767235763,471.45454545454544,non-essential,Q0K1X5,Q0K1X5_CUPNH,N-Acyl-D-Amino Acid Deacylase (EC 3.5.1.14),H16_B1209,490
H16_B1212,19,15,NC_008314.1,1369636,1370571,+,gene,1.710317777042975,0.9976885293930668,469.7368421052632,non-essential,Q0K1X2,Q0K1X2_CUPNH,2-Keto-3-deoxygluconate kinase (EC 2.7.1.45),kdgK H16_B1212,311
H16_B1213,12,4,NC_008314.1,1370637,1371281,+,gene,0.6642980993600116,0.4714396845045845,468.0833333333333,non-essential,Q0K1X1,Q0K1X1_CUPNH,2-Keto-3-deoxy-6-phosphogluconate aldolase (EC 4.1.2.14),eda H16_B1213,214
H16_B1223,13,10,NC_008314.1,1381321,1382004,+,gene,1.6196115523652808,0.9876561125696733,452.7692307692308,non-essential,Q0K1W1,Q0K1W1_CUPNH,"3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)",ribB H16_B1223,234
H16_B1238,20,19,NC_008314.1,1397391,1398191,-,gene,2.4459346230537524,0.9999930380642221,484.7,non-essential,Q0K1U6,Q0K1U6_CUPNH,Acid phosphatase (EC 3.1.3.2),H16_B1238,260
H16_B1241,13,10,NC_008314.1,1401097,1401963,-,gene,1.3458443019643942,0.960760673081319,429,non-essential,Q0K1U3,Q0K1U3_CUPNH,Arylamine N-acetyltransferase (EC 2.3.1.5),nhoA H16_B1241,288
H16_B1249,24,18,NC_008314.1,1406777,1407763,+,gene,2.0839701019756034,0.9999062504432783,437.5416666666667,non-essential,Q0K1T5,Q0K1T5_CUPNH,Esterase/lipase (EC 3.1.1.-),H16_B1249,328
H16_B1250,7,5,NC_008314.1,1407989,1408357,-,gene,1.5474893532732494,0.9525872636217114,438.85714285714283,non-essential,Q0K1T4,Q0K1T4_CUPNH,5-Carboxymethyl-2-hydroxymuconate isomerase (EC 5.3.3.10),H16_B1250,122
H16_B1255,11,10,NC_008314.1,1414165,1415601,+,gene,0.7877588575605944,0.5633849698051132,441.6363636363636,non-essential,Q0K1S9,Q0K1S9_CUPNH,Cardiolipin synthase A (CL synthase) (EC 2.7.8.-),clsA H16_B1255,478
H16_B1264,34,24,NC_008314.1,1421280,1422857,-,gene,1.6947405140430436,0.9997444580485533,450.38235294117646,non-essential,Q0K1S0,Q0K1S0_CUPNH,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-),H16_B1264,525
H16_B1278,11,10,NC_008314.1,1435033,1435539,+,gene,2.2305695090070397,0.9988340556191921,443.27272727272725,non-essential,Q0K1Q6,Q0K1Q6_CUPNH,Predicted acetyltransferase (EC 2.3.1.-),H16_B1278,168
H16_B1291,12,8,NC_008314.1,1447795,1448385,+,gene,1.5821867556383633,0.9779905968151732,428.25,non-essential,Q0K1P3,Q0K1P3_CUPNH,"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)",phnN H16_B1291,196
H16_B1292,3,0,NC_008314.1,1448427,1448891,-,gene,0,0.04340573889526709,421,essential,NA,NA,NA,NA,NA
H16_B1300,22,16,NC_008314.1,1455029,1457725,+,gene,0.7344948144666099,0.42837245693827825,402.8636363636364,non-essential,Q0K1N4,Q0K1N4_CUPNH,Pyruvate dehydrogenase E1 component (EC 1.2.4.1),aceE H16_B1300,898
H16_B1332,22,12,NC_008314.1,1476584,1478359,-,gene,0.9797917942437233,0.8183653741921755,343.40909090909093,non-essential,Q0K1K2,Q0K1K2_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B1332,521
H16_B1335,5,2,NC_008314.1,1480569,1482299,+,gene,0.17203413157170383,0.004401261027297139,336.6,ambiguous,Q0K1J9,Q0K1J9_CUPNH,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-),H16_B1335,562
H16_B1346,18,9,NC_008314.1,1492238,1493203,+,gene,1.5042620758816647,0.9757977116788419,310.6666666666667,non-essential,Q0K1I8,Q0K1I8_CUPNH,Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17),H16_B1346,321
H16_B1357,3,2,NC_008314.1,1518496,1519845,-,gene,0.38210816717996526,0.20875462079102924,194,non-essential,Q0K1H8,Q0K1H8_CUPNH,Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase),paaL2 H16_B1357,449
H16_B1358,7,3,NC_008314.1,1519916,1521580,-,gene,0.45991954474097335,0.2318756897131397,196.42857142857142,non-essential,Q0K1H7,Q0K1H7_CUPNH,"Phenylacetic acid degradation protein K,phenylacetaldehyde dehydrogenase (EC 1.2.1.39)",paaK2 H16_B1358,554
H16_B1365,10,7,NC_008314.1,1526471,1527487,-,gene,1.7224409448818898,0.9826004941280602,200.3,non-essential,Q0K1H0,1A1D_CUPNH,1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7),acdS H16_B1365,338
H16_B1367,15,11,NC_008314.1,1528345,1529511,-,gene,2.606066923798603,0.9998180879872683,181.6,non-essential,Q0K1G8,Q0K1G8_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_B1367,388
H16_B1369,6,6,NC_008314.1,1531113,1532321,+,gene,1.360801287519342,0.9352294894955651,182.5,non-essential,Q0K1G6,Q0K1G6_CUPNH,Acetyl-CoA acetyltransferase (EC 2.3.1.9),H16_B1369,402
H16_B1371,8,6,NC_008314.1,1533479,1534636,+,gene,1.3263067343818054,0.9262283746161218,195.5,non-essential,Q0K1G4,Q0K1G4_CUPNH,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",H16_B1371,385
